# Данные для обучения
# Строки,  начинающиеся с символа # считаются комментарием и не учитываются,  
# так же не учитываются пустые строки
# Структура данных: Данные записываются построчно
#	сначала идут входные значения через запятую
# 	затем ставится символ разденитель '|'
# 	заканчивают строчку выходные данные через запятую
# строки иной структуры, так же будут игнориться

# вес; взвешан; in; out; pos_on
  0.8;   0;     0;   0;    0    | 0,0,0,0
   0;    0;     0;   0;    0    | 0,0,0,0
   0;    0;     0;   1;    0    | 0,0,0,0
   0;    0;     1;   0;    0    | 0,0,0,0
   0;    0;     1;   1;    0    | 0,0,0,0
   0;    1;     0;   0;    0    | 0,0,0,0
   0;    1;     0;   1;    0    | 0,0,0,0
   0;    1;     1;   0;    0    | 0,0,0,0
   0;    1;     1;   1;    0    | 0,0,0,0

   1;    0;     0;   0;    0    | 1,0,0,1
   1;    0;     0;   1;    0    | 1,0,0,1
   1;    0;     1;   0;    0    | 1,0,0,1
   1;    0;     1;   1;    0    | 1,0,0,1

   1;    1;     0;   0;    0    | 1,0,0,0
   1;    1;     0;   1;    0    | 1,0,0,0
   1;    1;     1;   0;    0    | 1,0,0,0
   1;    1;     1;   1;    0    | 1,0,0,0

  0.8;   0;     0;   0;    1    | 0,0,0,0
   0;    0;     0;   0;    1    | 0,0,0,0
   0;    0;     0;   1;    1    | 0,0,0,0
   0;    0;     1;   0;    1    | 0,0,0,0
  0.8;   0;     1;   0;    1    | 0,0,0,0
   0;    0;     1;   1;    1    | 0,0,0,0
   0;    1;     0;   0;    1    | 0,0,0,0
   0;    1;     0;   1;    1    | 0,0,0,0
  0.8;   1;     0;   1;    1    | 0,0,0,0   
   0;    1;     1;   0;    1    | 0,0,0,0
   0;    1;     1;   1;    1    | 0,0,0,0
  0.8;   1;     1;   1;    1    | 0,0,0,0

   1;    0;     0;   0;    1    | 1,1,0,1
   1;    0;     0;   1;    1    | 1,0,1,1
   1;    0;     1;   0;    1    | 1,1,0,1
   1;    0;     1;   1;    1    | 1,1,1,1

   1;    1;     0;   0;    1    | 1,0,0,0
   1;    1;     0;   1;    1    | 1,0,0,0
   1;    1;     1;   0;    1    | 1,0,0,0
   1;    1;     1;   1;    1    | 1,0,0,0
